species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Western Star Flower,Lysimachia latifolia,Western Starflower,Plantae,496537
broad-leaved helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
coastal woodfern,Dryopteris arguta,coastal woodfern,Plantae,52671
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
Catchweed Bedstraw,Galium aparine,catchweed bedstraw,Plantae,53059
Yerba Santa,Eriodictyon californicum,California yerba santa,Plantae,57095
California hazelnut,Corylus cornuta californica,California hazelnut,Plantae,53368
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Kriechender Günsel,Ajuga reptans,carpet bugle,Plantae,56099
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
common hedge parsley,Torilis arvensis,common hedge parsley,Plantae,56846
yerba buena,Clinopodium douglasii,yerba buena,Plantae,53203
yerba buena,Clinopodium douglasii,yerba buena,Plantae,53203
Pacific trillium,Trillium ovatum,Pacific trillium,Plantae,49463
Harlequin flower,Sparaxis tricolor,Harlequin flower,Plantae,50843
wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Western Star Flower,Lysimachia latifolia,Western Starflower,Plantae,496537
Dryopteris arguta,Dryopteris arguta,coastal woodfern,Plantae,52671
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
Broad-leaved Helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
goldback fern,,goldback fern,Plantae,52676
Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
broad-leaved helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
goldback fern,,goldback fern,Plantae,52676
Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
false Solomon's seal,Maianthemum racemosum,Solomon's plume,Plantae,51062
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
Solomon's plume,Maianthemum racemosum amplexicaule,western Solomon's plume,Plantae,53012
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
common ivy,Hedera helix,common ivy,Plantae,55882
Pacific Sanicle,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Common Vetch,Vicia sativa,Common Vetch,Plantae,53324
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Bermuda Buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Western Sword Fern,Polystichum munitum,western sword fern,Plantae,47751
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
California hazelnut,Corylus cornuta californica,California hazelnut,Plantae,53368
California Bay,Umbellularia californica,California bay,Plantae,48807
Harlequin flower,Sparaxis tricolor,Harlequin flower,Plantae,50843
Douglas iris,Iris douglasiana,Douglas iris,Plantae,50854
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Broad-leaved Helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
Coast Redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Coast Redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Common Vetch,Vicia sativa,Common Vetch,Plantae,53324
great brome,Bromus diandrus,ripgut brome,Plantae,52702
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
common yarrow,Achillea millefolium,common yarrow,Plantae,52821
snakeroot,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Carex globosa,Carex globosa,round-fruited sedge,Plantae,61176
coastal woodfern,Dryopteris arguta,coastal woodfern,Plantae,52671
Indian Strawberry,Potentilla indica,mock strawberry,Plantae,243824
Hooker's fairybells,Prosartes hookeri,Hooker's fairybells,Plantae,51071
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Juncus patens,Juncus patens,Spreading Rush,Plantae,52798
Sparaxis tricolor,Sparaxis tricolor,Harlequin flower,Plantae,50843
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
Calla Lily,Zantedeschia aethiopica,calla lily,Plantae,56006
Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
Iris fernaldii,Iris fernaldii,Fernald's iris,Plantae,77504
Baldhip Rose,Rosa gymnocarpa,Baldhip Rose,Plantae,53441
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
American century plant,Agave americana,American century plant,Plantae,64103
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
Fremont's Deathcamas,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
Douglas iris,Iris douglasiana,Douglas iris,Plantae,50854
Sky Lupine,Lupinus nanus,Sky Lupine,Plantae,50612
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Ranunculus californicus californicus,Ranunculus californicus californicus,,Plantae,52172
Wavy-leafed Soap Plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597
Western Blue-eyed Grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
sun cup,Taraxia ovata,Sun Cup,Plantae,68182
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
Big quaking grass,Briza maxima,Greater Quaking Grass,Plantae,57157
French broom,Genista monspessulana,French broom,Plantae,53403
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Sky Lupine,Lupinus nanus,Sky Lupine,Plantae,50612
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
Western Blue-eyed Grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
Wavyleaf Soap Plant,Chlorogalum pomeridianum pomeridianum,amole,Plantae,59082
checkerbloom,Sidalcea malviflora,checkerbloom,Plantae,48795
Garden Radish,Raphanus raphanistrum sativus,garden radish,Plantae,995125
Common Vetch,Vicia sativa,Common Vetch,Plantae,53324
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
Sky Lupine,Lupinus nanus,Sky Lupine,Plantae,50612
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
pale pink-sorrel,Oxalis incarnata,Pale pink-sorrel,Plantae,61776
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
Common Vetch,Vicia sativa,Common Vetch,Plantae,53324
Pacific Sanicle,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
panic veldtgrass,Ehrharta erecta,panic veldtgrass,Plantae,64140
Veldt grass,Ehrharta erecta,panic veldtgrass,Plantae,64140
pale pink-sorrel,Oxalis incarnata,Pale pink-sorrel,Plantae,61776
rayless arnica,Arnica discoidea,rayless arnica,Plantae,52851
Ирис жёлтый,Iris pseudacorus,Yellow Iris,Plantae,47779
Narrow-leaved clover,Trifolium angustifolium,Narrow-leaved clover,Plantae,69939
pussy-ears,Calochortus tolmiei,Tolmie's pussy ears,Plantae,50840
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
Western Star Flower,Lysimachia latifolia,Western Starflower,Plantae,496537
Pacific Sanicle,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
Fremont's Deathcamas,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
Dwarf Checkermallow,Sidalcea malviflora,checkerbloom,Plantae,48795
Dwarf Checkermallow,Sidalcea malviflora,checkerbloom,Plantae,48795
Western Blue-eyed Grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
Western Blue-eyed Grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
Sky Lupine,Lupinus nanus,Sky Lupine,Plantae,50612
Pineapple Weed,Matricaria discoidea,pineapple-weed,Plantae,52992
Sky Lupine,Lupinus nanus,Sky Lupine,Plantae,50612
California hazelnut,Corylus cornuta californica,California hazelnut,Plantae,53368
Baldhip Rose,Rosa gymnocarpa,Baldhip Rose,Plantae,53441
checkerbloom,Sidalcea malviflora,checkerbloom,Plantae,48795
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
Western Blue-eyed Grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
geranium-leaved checkerbloom,Sidalcea malviflora laciniata,geranium-leaved checkerbloom,Plantae,61195
California bay,Umbellularia californica,California bay,Plantae,48807
Juncus patens,Juncus patens,Spreading Rush,Plantae,52798
geranium-leaved checkerbloom,Sidalcea malviflora,checkerbloom,Plantae,48795
eggleaf spurge,Euphorbia oblongata,eggleaf spurge,Plantae,77117
Turkey Mullein,Croton setiger,turkey mullein,Plantae,154156
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Western Star Flower,Lysimachia latifolia,Western Starflower,Plantae,496537
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Fremont's Deathcamas,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
blue blossom,Ceanothus thyrsiflorus thyrsiflorus,,Plantae,56616
Baldhip Rose,Rosa gymnocarpa,Baldhip Rose,Plantae,53441
Anemonoides grayi,Anemonoides grayi,Gray's anemone,Plantae,950609
Italian thistle,Carduus pycnocephalus,Italian thistle,Plantae,52990
Broad-leaved Helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
Big Quaking Grass,Briza maxima,Greater Quaking Grass,Plantae,57157
Calochortus albus,Calochortus albus,White Globe Lily,Plantae,51315
Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
Italian thistle,Carduus pycnocephalus,Italian thistle,Plantae,52990
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
Toyon,Heteromeles arbutifolia,Toyon,Plantae,53405
Bengalen-Wicke,Vicia benghalensis,reddish tufted vetch,Plantae,53333
Garden Radish,Raphanus raphanistrum sativus,garden radish,Plantae,995125
field marigold,Calendula arvensis,field marigold,Plantae,59260
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
Narrow-leaved clover,Trifolium angustifolium,Narrow-leaved clover,Plantae,69939
musk stork's-bill,Erodium moschatum,musk stork's-bill,Plantae,57092
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
Grande cigüe,Conium maculatum,poison hemlock,Plantae,52998
Pale flax,Linum bienne,Pale flax,Plantae,55679
Armenian Blackberry,Rubus armeniacus,Armenian Blackberry,Plantae,61317
Field madder,Sherardia arvensis,Field madder,Plantae,47691
musk stork's-bill,Erodium moschatum,musk stork's-bill,Plantae,57092
Pale flax,Linum bienne,Pale flax,Plantae,55679
Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
Trifolium angustifolium,Trifolium angustifolium,Narrow-leaved clover,Plantae,69939
petty spurge,Euphorbia peplus,Petty Spurge,Plantae,57036
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
Narrow-leaved Clover,Trifolium angustifolium,Narrow-leaved clover,Plantae,69939
Garden Radish,Raphanus raphanistrum sativus,garden radish,Plantae,995125
Sky Lupine,Lupinus nanus,Sky Lupine,Plantae,50612
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
reddish tufted vetch,Vicia benghalensis,reddish tufted vetch,Plantae,53333
Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
western blue-eyed grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
reddish tufted vetch,Vicia benghalensis,reddish tufted vetch,Plantae,53333
Mallows,Malva,Mallows,Plantae,55978
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
hare barley,Hordeum murinum leporinum,hare barley,Plantae,52795
Italian thistle,Carduus pycnocephalus,Italian thistle,Plantae,52990
Salsify,Tragopogon porrifolius,purple salsify,Plantae,54141
Western Vervain,Verbena lasiostachys,western vervain,Plantae,53316
Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
Armenian Blackberry,Rubus armeniacus,Armenian Blackberry,Plantae,61317
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
reddish tufted vetch,Vicia benghalensis,reddish tufted vetch,Plantae,53333
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Garden Radish,Raphanus raphanistrum sativus,garden radish,Plantae,995125
Small-flowered Catchfly,Silene gallica,Small-flowered Catchfly,Plantae,53212
field marigold,Calendula arvensis,field marigold,Plantae,59260
Dove's-foot crane's-bill,Geranium molle,Dove's-foot crane's-bill,Plantae,53076
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
Pale flax,Linum bienne,Pale flax,Plantae,55679
geraniums and cranesbills,Geranium,geraniums and cranesbills,Plantae,47701
Garden Radish,Raphanus raphanistrum sativus,garden radish,Plantae,995125
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
Monterey Cypress,Hesperocyparis macrocarpa,Monterey Cypress,Plantae,77378
western blue-eyed grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
Armenian Blackberry,Rubus armeniacus,Armenian Blackberry,Plantae,61317
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
bull thistle,Cirsium vulgare,Bull Thistle,Plantae,52989
bird's-eye speedwell,Veronica persica,bird's-eye speedwell,Plantae,55666
black sage,Salvia mellifera,black sage,Plantae,50643
Armenian Blackberry,Rubus armeniacus,Armenian Blackberry,Plantae,61317
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
field marigold,Calendula arvensis,field marigold,Plantae,59260
Mediterranean lineseed,Bellardia trixago,Mediterranean lineseed,Plantae,51286
Santa Cruz Manzanita,Arctostaphylos andersonii,Santa Cruz Manzanita,Plantae,71123
California Pitcher Sage,Lepechinia calycina,California Pitcher Sage,Plantae,57114
orange bush monkeyflower,Diplacus aurantiacus,orange bush monkeyflower,Plantae,777371
pineapple-weed,Matricaria discoidea,pineapple-weed,Plantae,52992
Pineapple Weed,Matricaria discoidea,pineapple-weed,Plantae,52992
field marigold,Calendula arvensis,field marigold,Plantae,59260
Mallows,Malva,Mallows,Plantae,55978
Garden Radish,Raphanus raphanistrum sativus,garden radish,Plantae,995125
Garden Radish,Raphanus raphanistrum sativus,garden radish,Plantae,995125
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
field bindweed,Convolvulus arvensis,field bindweed,Plantae,53021
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
Mallows,Malva,Mallows,Plantae,55978
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
California poppy,Eschscholzia californica,California poppy,Plantae,48225
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
Sheep's Sorrel,Rumex acetosella,Sheep's sorrel,Plantae,53195
Western Blue-eyed Grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
bitter lettuce,Lactuca virosa,bitter lettuce,Plantae,53108
fiddle dock,Rumex pulcher,fiddle dock,Plantae,60232
Bengalen-Wicke,Vicia benghalensis,reddish tufted vetch,Plantae,53333
Pacific Poison Oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
big quaking grass,Briza maxima,Greater Quaking Grass,Plantae,57157
Trifolium angustifolium,Trifolium angustifolium,Narrow-leaved clover,Plantae,69939
French broom,Genista monspessulana,French broom,Plantae,53403
musk stork's-bill,Erodium moschatum,musk stork's-bill,Plantae,57092
cardo negro,Cirsium vulgare,Bull Thistle,Plantae,52989
poison hemlock,Conium maculatum,poison hemlock,Plantae,52998
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
Armenian Blackberry,Rubus armeniacus,Armenian Blackberry,Plantae,61317
poison hemlock,Conium maculatum,poison hemlock,Plantae,52998
Coyote Brush,Baccharis pilularis,coyote brush,Plantae,53359
checkerbloom,Sidalcea malviflora,checkerbloom,Plantae,48795
Cut-leaved crane's-bill,Geranium dissectum,Cut-leaved crane's-bill,Plantae,53075
field marigold,Calendula arvensis,field marigold,Plantae,59260
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
stork's-bills,Erodium,stork's-bills,Plantae,47688
California incense-cedar,Calocedrus decurrens,California incense-cedar,Plantae,53723
California incense-cedar,Calocedrus decurrens,California incense-cedar,Plantae,53723
Pale Flax,Linum bienne,Pale flax,Plantae,55679
Pacific Sanicle,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
Sky Lupine,Lupinus nanus,Sky Lupine,Plantae,50612
purple needlegrass,Nassella pulchra,purple needlegrass,Plantae,165659
Narrow-leaved Clover,Trifolium angustifolium,Narrow-leaved clover,Plantae,69939
reddish tufted vetch,Vicia benghalensis,reddish tufted vetch,Plantae,53333
big quaking grass,Briza maxima,Greater Quaking Grass,Plantae,57157
Wavy-leafed Soap Plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597
French broom,Genista monspessulana,French broom,Plantae,53403
Long-beaked Stork's Bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
ripgut brome,Bromus diandrus,ripgut brome,Plantae,52702
sweet fennel,Foeniculum vulgare,fennel,Plantae,53052
harvest brodiaea,Brodiaea elegans,harvest brodiaea,Plantae,51752
California Manroot,Marah fabacea,California manroot,Plantae,205330
slender wild oat,Avena barbata,slender wild oat,Plantae,52696
black cottonwood,Populus trichocarpa,black cottonwood,Plantae,78699
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
Dipterostemon capitatus,Dipterostemon capitatus,Blue Dicks,Plantae,1196784
Coast Redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Pineapple Weed,Matricaria discoidea,pineapple-weed,Plantae,52992
musk stork's-bill,Erodium moschatum,musk stork's-bill,Plantae,57092
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
bull thistle,Cirsium vulgare,Bull Thistle,Plantae,52989
bird's-eye speedwell,Veronica persica,bird's-eye speedwell,Plantae,55666
Trifolium angustifolium,Trifolium angustifolium,Narrow-leaved clover,Plantae,69939
Trifolium angustifolium,Trifolium angustifolium,Narrow-leaved clover,Plantae,69939
Wild radish,Raphanus raphanistrum,Wild radish,Plantae,55411
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
Bengalen-Wicke,Vicia benghalensis,reddish tufted vetch,Plantae,53333
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
stork's-bills,Erodium,stork's-bills,Plantae,47688
western blue-eyed grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
fava bean,Vicia faba,fava bean,Plantae,57309
